question,answer,source,theme
How much do Temporary No Parking Signs cost and how do I use them?,TNPS cost $5 per sign at the Parking Department office (133 Holland St). Each sign reserves approximately 15-20 feet. Signs must be posted at least 48 hours in advance. You must notify 311 of posting for sign validity. Walk-in applicants post their own signs; mailed-in applications have signs posted by Parking staff. One sign is needed every 20 feet of reserved space.,"New Hire Training PPT.pdf, Parking Training - TNPS slides",Parking
When can a vehicle be towed from a Temporary No Parking Sign area?,Towing is allowed only after TNPS have been posted for 48 hours. Confirm the posting date/time in the CRM system before authorizing a tow. Check if signs specify the correct date/time and event purpose. Call SPD (x7255) for towing only after the 48-hour requirement is met.,"New Hire Training PPT.pdf, Parking Training - TNPS Towing slide",Parking
Why does Somerville have strict parking regulations?,"Somerville is one of the most densely populated cities in New England with over 8,000 cars per square mile. Limited street space creates high demand for curb space. Parking rules ensure fairness and safety for all residents and visitors.","New Hire Training PPT.pdf, Parking Training slides",Parking
What does the Parking Department do?,"The Parking Department ensures orderly and controlled parking, enforces local and state parking laws, maintains signage and meters, manages parking permits, handles parking enforcement, operates meters and city-owned lots, manages booting and towing, and conducts appeals and hearings. They collaborate with Mobility, Public Works, Police, and Fire departments.","New Hire Training PPT.pdf, Parking Training slides",Parking
What is the Parks Tree Health Program?,"The Parks Tree Health Program is managed by city arborists (OSPCD). Each year, 4-7 parks cycle through this program on a 6-year health maintenance cycle. The program involves: (1) comprehensive health assessment by certified arborist, (2) work plan for proactively maintaining trees, (3) execution of that work, and (4) long-term maintenance recommendations.","DPW Training Manual 2024.docx, Arborists section",Parks and Recreation
What state parks are in Somerville?,State parks under the Department of Recreation include Foss Park & Latta Brothers Memorial Pool and Silvester Baxter Riverfront Park. Issues should be reported to mass.parks@state.ma.us or 617-727-1058.,"DPW Training Manual 2024.docx, State Properties section",Parks and Recreation
What are the off-leash dog parks in Somerville?,"The off-leash dog parks in Somerville are: Nunziato Park, Ed Leathers Park, and 0 New Washington. Dogs must be on leash in all other public areas per Somerville leash laws.","New Hire Training PPT.pdf, Public Safety Training - Animal Control slide",Parks and Recreation
Who handles traffic signal timing issues?,"Requests for signal timing changes should be submitted to OSPCD-Mobility feedback, not to DPW Electrical Lights & Lines. The Lights & Lines division handles traffic signal repairs (signals not working or not working properly) but not timing adjustments.","DPW INFO Quick Reference guide 2024.docx, Electrical Lights and Lines section",Planning and Development
What is the Housing Stability Notification Act?,"The Housing Stability Notification Act is a Massachusetts law that provides tenant rights and protections. ISD Health provides educational materials about tenant rights under this act. For support with eviction prevention, foreclosure, or housing instability, contact Office of Housing Stability.","ISD Quick Reference Training guide 2024.docx, HSNA reference; New Hire Training PPT.pdf",Planning and Development
What is the Inclusionary Housing Program?,"The Inclusionary Housing Program provides income-restricted housing to make Somerville more affordable. This is one of the programs managed by OSPCD's Housing Division. Contact Housing Division at 50 Evergreen Ave, ext. 2577 for eligibility and application information.","New Hire Training PPT.pdf, OSPCD Training - Housing Division slide",Planning and Development
What services does the Office of Housing Stability provide?,"OHS provides: financial assistance for rent/mortgage arrears and startup costs, case management to stabilize tenancies, housing search and Section 8 referrals, emergency shelter access, legal/mediation support, tenant rights education under Massachusetts Housing Stability Notification Act, and workshops on eviction record sealing and tenant rights.","New Hire Training PPT.pdf, OSPCD Training - Housing Stability slide",Planning and Development
What programs does PSUF offer?,"PSUF programs include: Pollinator Action Plan, Young Tree Training & Tree Health Program, Invasive Species Removal, ArtFarm & Urban Agriculture, and Tree Inventory & Urban Forest Management Plan. Community involvement is welcomed through the Urban Forestry Committee.","New Hire Training PPT.pdf, OSPCD Training - Key PSUF Programs slide",Planning and Development
What are the seven divisions of OSPCD?,"OSPCD has seven divisions: Administration, Economic Development, Historic Preservation, Housing & Housing Stability, Mobility, Planning Preservation & Zoning, and Public Space & Urban Forestry.","New Hire Training PPT.pdf, OSPCD Training - OSPCD Overview slide",Planning and Development
What types of mobility projects does the Mobility Division work on?,"Mobility works on: Quick Build Projects (paint, signage, flex posts), Street Redesigns (safety improvements like Beacon Street), Transit Access Enhancements (Green Line Extension), Traffic Signal Upgrades (signal timing optimization), Bike Infrastructure (protected lanes, bike corrals), Mobility Planning Studies (corridor analysis like Powder House Blvd), Accessibility Improvements (ADA curb ramps, pedestrian signals, sidewalk repairs), and Traffic Calming (speed humps, raised crosswalks, crossing islands, curb extensions, clear corners/daylighting, neighborhood traffic circles, floating bus stops).","New Hire Training PPT.pdf, OSPCD Training - Types of Mobility Projects slide",Planning and Development
What benefits do trees provide?,"Trees provide: cooling shade, air and water purification, beauty, and habitat for wildlife.","New Hire Training PPT.pdf, OSPCD Training - Urban Forestry by the Numbers slide",Planning and Development
What does OSPCD's Economic Development Division do?,"Economic Development fosters growth of a resilient economic base, creates jobs, supports workforce development, and secures fiscal self-sufficiency. They assist existing and emerging businesses, implement workforce initiatives, support redevelopment through infrastructure improvements and Brownfield cleanup, and promote growth of industry clusters and innovation. They partner with Somerville Redevelopment Authority, Job Creation Trust, MAPC, Main Streets groups, and Chamber of Commerce. Support storefront improvements and local business networks. Located at City Hall 2nd Floor. Contact: Economicdevelopment@somervillema.gov.","OSPCD Quick Reference Training Guide 2024.docx, Economic Development section; New Hire Training PPT.pdf, Economic Development slide",Planning and Development
What does OSPCD's Historic Preservation Division do?,"Historic Preservation works with the Somerville Historic Preservation Commission (SHPC) to ensure important historic properties are preserved. Property owners must follow certain rules when making repairs or changes to historic homes. Preservation planners provide technical information throughout the process. The Commission offers advice to homeowners adhering to design standards and guidelines. Located at City Hall 3rd Floor. Contact: 617-625-6600 ext. 2522, Historic@somervillema.gov.","OSPCD Quick Reference Training Guide 2024.docx, Historic Preservation section; New Hire Training PPT.pdf",Planning and Development
What resources are available for homeless people?,"The Housing Division maintains an extensive guide of resources for homeless people and those at risk of becoming homeless. The guide includes contact information for local shelters, transitional housing, food services, emergency funding, and more. For additional help, including finding an emergency shelter, contact Office of Housing Stability.","OSPCD Quick Reference Training Guide 2024.docx, Homelessness Prevention section",Planning and Development
What does OSPCD's Housing Division do?,"Housing Division ensures Somerville remains affordable, sustainable, and livable. They obtain and manage funds for affordable housing developments, improve housing quality, fund new developments, administer lead hazard abatement and homeowner rehabilitation programs, offer landlord-tenant mediation, and provide foreclosure prevention resources. Located at City Hall Annex, 50 Evergreen Ave. Contact: 617-625-6600 ext. 2577.","OSPCD Quick Reference Training Guide 2024.docx, Housing section; New Hire Training PPT.pdf, Housing Division slides",Planning and Development
What are some recent Mobility Division projects?,"Recent projects include: Beacon Street Reconstruction (completed), Central Hill Parking, Holland St & College Ave Mobility Improvements, Somerville Ave Utility and Streetscape Improvements, Winter Hill in Motion, Green Line Extension, Powder House Blvd Planning, Traffic Signal Timing Improvements, Tufts Street Reconstruction, Central Broadway Corridor, Pearl St Reconstruction, Western Washington Street Mobility.","OSPCD Quick Reference Training Guide 2024.docx, Mobility - Most Recent Projects; New Hire Training PPT.pdf, Recent Projects slide",Planning and Development
What does OSPCD's Mobility Division do?,"Mobility Division plans, designs, implements, and evaluates projects advancing Somerville's goal of becoming the most walkable, bikeable, and transit-accessible city in the U.S. They provide guidance for safe, convenient transportation and work with IAM Engineering, Office of Sustainability, Planning & Zoning, and Parking to ensure mobility goals are considered in street reconstruction and private development. Located at City Hall 3rd Floor. Contact: Transportation@somervillema.gov.","OSPCD Quick Reference Training Guide 2024.docx, Mobility section; New Hire Training PPT.pdf, Mobility slides",Planning and Development
What is the Office of Housing Stability?,"OHS prevents involuntary displacement of residents facing eviction or at risk of losing housing, rehouses the homeless and those needing to relocate, and enacts policies to combat displacement and enhance tenants' rights. They serve all Somerville residents, landlords, and property owners regardless of income or language. They accept referrals for: evictions (pre-court), housing search and applications, problems with subsidies, landlord/tenant issues/questions, and shelter access. Located at City Hall Annex, 50 Evergreen Ave. Contact: 617-625-6600 ext. 2581.","OSPCD Quick Reference Training Guide 2024.docx, Office of Housing Stability section; New Hire Training PPT.pdf, Housing Stability slides",Planning and Development
What are OSPCD's main hours and location?,"Located at 93 Highland Ave (City Hall) 3rd Floor and 50 Evergreen Ave (City Hall Annex). Hours: Monday-Wednesday 8:30am-4:30pm, Thursday 8:30am-7:30pm, Friday 8:30am-12:30pm. Phone: 617-625-6600 ext. 2500.","OSPCD Quick Reference Training Guide 2024.docx, page 1",Planning and Development
What does OSPCD's Planning and Zoning Division do?,"Planning develops recommendations for land use to meet resident and business needs while preserving Somerville's character. They administer SomerVision (comprehensive plan 2010-2040), conduct neighborhood planning, administer planning and zoning activities before Planning Board and Zoning Board of Appeals, manage Design Review Committee applications, maintain historic resources, coordinate with other departments, serve as liaison to metropolitan/state/federal agencies, support sustainable growth, and enhance relationships with residents and neighborhood organizations. Located at City Hall 3rd Floor. Contact: Planning@somervillema.gov.","OSPCD Quick Reference Training Guide 2024.docx, Planning and Zoning section",Planning and Development
What is SomerVision?,"SomerVision is Somerville's comprehensive plan that addresses the City's goals, policies, and actions for the years 2010 to 2040. It is administered by OSPCD's Planning Division to help understand resident needs and keep development aligned with long-term planning goals.","OSPCD Quick Reference Training Guide 2024.docx, Planning and Zoning section",Planning and Development
What programs does the Housing Division offer for homeowners?,"Programs include: HeatSmart/CoolSmart (efficient heating and cooling), Be SEEN (Be Somerville Energy Efficient Now), Inclusionary Housing Program, Lead Safe Somerville, Fair Housing Brochure, Renewable Energy, Housing Rehabilitation Program, Lead Hazard Abatement, and Heating System Replacement.","OSPCD Quick Reference Training Guide 2024.docx, Programs and Services - Homeowners",Planning and Development
What programs does the Housing Division offer for renters and buyers?,"Programs include: down payment assistance, first-time homebuyer classes, tenant rent stabilization, fuel assistance and weatherization.","OSPCD Quick Reference Training Guide 2024.docx, Programs and Services - Renters and Buyers",Planning and Development
What is Public Space & Urban Forestry?,"PSUF's mission is to plan, construct, and steward the public realm to promote environmental and public health vitality through the City's network of public spaces and urban forest. Core values include public service, environmental stewardship, progress, teamwork and professionalism. They maintain 12,000+ public trees, plant 175-290 new trees each spring/fall. Located at City Hall 3rd Floor. Contact: 617-625-6600 ext. 2500.","OSPCD Quick Reference Training Guide 2024.docx, PSUF section; New Hire Training PPT.pdf, PSUF slides",Planning and Development
How do I report downed or low hanging wires?,"Call Fire Alarm immediately at 617-623-1700 or x8300 for downed or low hanging wires as this is an active emergency. SFD will assess if power line is live and contact DPW and utility company to address immediately. If line is not live or is telephone/cable, they will tie it to reduce public risk and advise constituent to contact utility company for repairs.","DPW Training Manual 2024.docx, Utility Poles & Lines section; Handling Emergency Calls 24 08 01.docx",Public Safety
When does the Fire Department inspect hydrants?,"SFD Annual Fire Hydrant Inspection & Testing occurs August 22-September 3, Monday-Saturday between 9am-4pm and if necessary 6:15pm-8:15pm.","DPW Training Manual 2024.docx, Water Billing and Services section",Public Safety
When should I call the DPW Report Man after hours?,"Call 617-590-3570 for after-hours active emergencies: dead animal on public areas, large down tree limb/branch blocking sidewalk or street, malfunctioning traffic light/crossing signal at busy intersection (place temporary stop sign), hazard on street/sidewalk (place caution tape or sawhorses). Log with appropriate request name, SAVE & CLOSE.","Handling Emergency Calls 24 08 01.docx, DPW Report man section",Public Safety
When should I call Fire Alarm directly?,"Call 617-623-1700 or x8300 immediately for: down or low hanging wires, strong gas odor (advise to leave premises, ventilate if possible, contact gas company), fire alarm going off, large down tree limb with downed wires and/or personal injury, gas/chemical spill on street/sidewalk. Log as 'Fire downed wire/emergency' SAVE & CLOSE. Also call for after-hours emergencies: bodily fluids in public area (SFD contacts on-call inspector), construction noise/illegal construction 7pm-7am Mon-Sat or all day Sunday/holidays (SFD contacts on-call ISD inspector), Dig Safe emergency notifications.","Handling Emergency Calls 24 08 01.docx, Fire Alarm section",Public Safety
When should I call Somerville Police dispatch directly?,"Call 617-625-1212 or x7255 immediately for: noise complaints during active disturbance (any time for firearms/explosives/car alarms over 10 min, after hours for music/shouting 11pm-7am, loading/unloading 7pm-7am residential, loudspeakers 10pm-7am); immediate public safety threats; tow requests (vehicle in reserved space after verifying 48 hour requirement, blocked driveways if owner requests tow); public safety hazards (intersections, hydrants, fire lanes, double parked); animal control emergencies (abandoned animal, animal cruelty, animal bites, dog leashed outdoors extended period, injured domestic animal, injured wildlife on public property, nuisance barking after quiet hours, wild animal danger to public, unleashed dogs in public). Log as 'Police transfer to dispatch' SAVE & CLOSE.","Handling Emergency Calls 24 08 01.docx, SPD dispatch section",Public Safety
What does the Fire Prevention Bureau do?,"Fire Prevention Bureau prevents fires by enforcing laws and ordinances relative to fire safety and educating the public. They conduct inspections, issue permits, and follow up on citizen complaints and fire company violation reports. They review plans for new construction, additions, sprinkler/fire alarm system upgrades, and demolition. They monitor installation and removal of underground and aboveground storage tanks. Located in DPW building, works with ISD, Board of Health, and Planning Board.","ISD Quick Reference Training guide 2024.docx, Fire Prevention Bureau section",Public Safety
When should I call 911 versus 311?,"Call 911 for emergencies only: serious medical problems (chest pain, seizure, bleeding), any type of fire (business, car, building), life-threatening situations (fights, person with weapons, animal attack), or crimes in progress. Call 311 for non-emergency city services. 311 will transfer you to 911 immediately if the situation warrants. For animal attacks or animals posing immediate threats to public safety, call 911.","New Hire Training PPT.pdf, page 6",Public Safety
What are the dog laws in Somerville?,"Dogs must be licensed and vaccinated. Leash laws require dogs to be leashed in public areas (except at off-leash parks: Nunziato, Ed Leathers, and 0 New Washington). Dog waste must be picked up. Violations are enforced by Animal Control. For emergencies involving sick, injured, dangerous animals, or animal attacks, contact SPD Dispatch at x2190.","New Hire Training PPT.pdf, Public Safety Training - Animal Control slide",Public Safety
What does Somerville Fire Department do?,"SFD provides fire suppression, prevention, and emergency medical response. They handle hazmat situations, public safety inspections, and fire investigations. Auxiliary units support hydration, pumping, and lighting needs. They oversee compliance with fire regulations and permits.","New Hire Training PPT.pdf, Public Safety Training - SFD slide",Public Safety
What services does Somerville Police Department provide?,"SPD responds to emergency and non-emergency calls. Units include COHR, Crime Analysis, Detective Bureau, Patrol, Traffic, and Animal Control. They offer services like fingerprinting, bicycle registration, child safety seat installation, firearms licensing, and handle quality of life and public safety complaints.","New Hire Training PPT.pdf, Public Safety Training - SPD slide",Public Safety
When should I report a barking dog?,"Report barking dogs after quiet hours as an emergency to SPD Dispatch. During regular hours, nuisance barking that creates a disturbance can be reported through 311. Animal Control enforces dog ordinances including leash laws, waste pickup requirements, and noise disturbances.","New Hire Training PPT.pdf, Public Safety Training quiz",Public Safety
What permits and licenses can be applied for through CitizenServe?,"Building Permit, Plumbing Permit, Electrical Permit, Certificate of Inspection, Certificate of Occupancy, Public Event License, Temporary Food Permit, Dumpster License, Food Establishment License.","ISD Quick Reference Training guide 2024.docx, Citizenserve - Permits & Licenses section",Technology
What is CitizenServe?,"CitizenServe is the online system that accepts applications for permits and licenses. Launched May 21, 2014 for Inspectional Services and City Clerk's office. Work orders submitted via QAlert CRM for ISD/Health ISD are automatically uploaded onto CitizenServe. 311 agents with access can use it to: check status of service requests, view images of non-criminal tickets and photos, check building permit or license application status, view Rodent Assistance Program application status.","ISD Quick Reference Training guide 2024.docx, Citizenserve section; DPW Training Manual 2024.docx",Technology
What is QAlert?,QAlert is the Customer Relationship Management (CRM) system used by 311 to log interactions and submit service requests to City departments. 311 agents use QAlert to document all interactions with constituents and route requests to the appropriate department.,"Multiple training documents, How 311 Supports sections",Technology
What does SAVE vs SAVE & CLOSE mean in QAlert?,Requests for service must be 'SAVE' at the end of the interaction to ensure the appropriate department is notified and can take action. Inquiries and informational interactions are 'SAVE & CLOSE' because they don't require department follow-up action. This distinction is critical for proper workflow and departmental notifications.,"Multiple training documents, Standards of service sections",Technology
What causes brown or discolored water?,"Brown or discolored water is commonly caused by the annual hydrant flushing program (May-October, Mondays/Thursdays, 6PM-midnight). It can also be caused by water main work, repairs, or system maintenance. The discoloration is temporary and important for water quality maintenance.","New Hire Training PPT.pdf, Water & Sewer Training - Knowledge Check; Water and Sewer Quick Reference Training Guide 2024.docx",Water and Sewer
How do I report no water or low water pressure?,"Call 311 to report no water or low water pressure. This is often due to hydrant flushing, scheduled shutdown for repairs, or setting up new service. The city and contractors strive to notify properties of planned shutdowns through daily email updates from Water Primary Operator, weekly Right of Way emails, or City Alerts. If it's an emergency water main break, Water Department responds immediately.","Water and Sewer Quick Reference Training Guide 2024.docx, How 311 Supports section",Water and Sewer
What is inflow and infiltration reduction?,Inflow and infiltration reduction is work done by Sewer Division in coordination with Engineering to reduce excess water entering the sewer system from sources like storm drains (inflow) and groundwater seepage (infiltration). This helps prevent sewer backups and system overflows.,"Water and Sewer Quick Reference Training Guide 2024.docx, Sewer Division",Water and Sewer
How do I report a sewer backup?,Call 311 to report sewer backups as an emergency. The Sewer Division responds to emergency calls for backups.,"Water and Sewer Quick Reference Training Guide 2024.docx, Sewer Division; New Hire Training PPT.pdf",Water and Sewer
Will I receive a catch-up bill after my water meter is replaced?,"Some properties that received multiple estimated bills may receive a catch-up bill after installation. When new meter is installed, actual read may be higher or lower than estimated reads, resulting in a higher bill or credit. The old meters were accurately reading usage throughout estimated period, but transmitters weren't sending data to billing. Future bills will be based on actual reads.","Water and Sewer Quick Reference Training Guide 2024.docx; DPW Training Manual 2024.docx, catch-up bill script",Water and Sewer
How do I request a final water bill for a property sale?,Submit request online at least 3 business days before closing at form.jotform.com/211683690557060 or go to somervillema.gov/water and click 'Request a final water bill.' The fee is $25. The final bill will be emailed before closing. Payment must be mailed to Treasurer's office or placed in lockbox at 93 Highland Avenue.,"Water and Sewer Quick Reference Training Guide 2024.docx; DPW Training Manual 2024.docx, Final water bills",Water and Sewer
What are Water and Sewer Department hours and location?,"Located at 17 Franey Rd, Somerville, MA 02145. Hours: Monday-Wednesday 8am-4pm, Thursday 8am-7pm, Friday 8am-12pm. Open to public: 8am-9am and 3pm-4pm only. Phone: 617-625-6600 ext. 5850. Director: Demetrios Vidalis, x5810. Principal Clerks: Arturo Vazquez (x5850) and Sara Wairi (x5855).","Water and Sewer Quick Reference Training Guide 2024.docx; DPW Training Manual 2024.docx, Water & Sewer section, page 1",Water and Sewer
Who are the key Water and Sewer staff?,"Director: Demetrios Vidalis, x5810. Director of Finance & Admin: Kelie Herbert, 5858. Water Primary Operator: Carlos Perez, x5815. Water & Sewer Engineer: Virginia Adams, x5816. Superintendent of Water: Neil Viner, x5812. Superintendent of Sewer: Jay Hayden, x5854. Principal Clerks: Arturo Vazquez (x5850/5856) and Sara Wairi (x5855).","Water and Sewer Quick Reference Training Guide 2024.docx; DPW Training Manual 2024.docx, Water & Sewer Staff",Water and Sewer
What does the Sewer Division do?,"Sewer Division responds to emergency calls for sewer backups, performs Digsafe mark-outs for sewer lines, conducts catch basin cleaning, repairs City sewers, reduces inflow and infiltration in coordination with Engineering, and monitors and maintains sewer pump stations.","Water and Sewer Quick Reference Training Guide 2024.docx; DPW Training Manual 2024.docx; New Hire Training PPT.pdf, Sewer Division",Water and Sewer
What does the Water Department do?,"The Water Department maintains and improves the City's potable water distribution system to ensure high quality and dependability. They're responsible for operation and maintenance of approximately 118 miles (or 125 miles) of water mains, 1,500 fire hydrants and 15,600 water service connections and water meters. They respond to emergency calls for no water and water main breaks, perform Digsafe mark-outs, install meters and automatic reading devices, inspect new water mains/lines, flush and replace water mains, repair/replace hydrants, repair/replace water valves/gates, conduct water sampling (DEP required), and handle meter reading & billing questions.","Water and Sewer Quick Reference Training Guide 2024.docx; DPW Training Manual 2024.docx; New Hire Training PPT.pdf, Water Department",Water and Sewer
What is the City-Wide Water Meter Replacement Project?,"Water & Sewer Department is replacing water meters whose transmitting units (MTUs) are failing or aging. When transmitters fail, you receive estimated bills (marked with 'E' in Read Code column; 'A' shows actual reading). Mass Installation, Inc. performs free replacements. Property owners call 1-800-933-1360 or visit massinstallation.com/appointment to schedule. Installation takes less than 1 hour. Participation is MANDATORY.","Water and Sewer Quick Reference Training Guide 2024.docx; DPW Training Manual 2024.docx; New Hire Training PPT.pdf, Water Meter Replacement",Water and Sewer
What is the Lead Service Line Replacement Program?,"Launched in 2019, this program replaces lead or non-copper water service lines at no charge to property owners. Through MWRA's Lead Loan Program, the City received state funding to eliminate lead from water system. Phase 1 (June 2021) replaced 69 services, Phase 2 (June 2022) replaced 102, Phase 3 begun in 2023 continues into 2024. Contact LeadServices@somervillema.gov. More info: somervillema.gov/water","Water and Sewer Quick Reference Training Guide 2024.docx; Infrastructure & Asset Management Quick Reference Training Guide 2024.docx; New Hire Training PPT.pdf, Lead Service Line Replacement",Water and Sewer
What is the hydrant flushing program?,"Water Department's annual hydrant flushing program occurs May-October on Mondays and Thursdays, 6PM to midnight. May cause temporary low water pressure or brown/discolored water. Important for system maintenance and water quality. Residents should avoid using water for laundry during this time if possible.","Water and Sewer Quick Reference Training Guide 2024.docx; New Hire Training PPT.pdf, Hydrant Flushing slide",Water and Sewer
Is there a water and sewer discount for seniors?,"Yes. Income-eligible Somerville seniors, surviving spouses, and minors can receive a 25% discount on water and sewer bills. Eligibility is based on qualifying for the 41C or 17D statutory property tax exemptions. You must reapply each year through Assessor's Office (applications available July 1, due early April). If you qualify for 41C or 17D, you automatically receive the water/sewer discount.","Water and Sewer Quick Reference Training Guide 2024.docx; New Hire Training PPT.pdf, Senior Discount slide",Water and Sewer
What is the Adopt-a-Drain Program?,"Through Somerville's Adopt-a-Drain program, residents and business owners can volunteer to care for a local storm drain and check on it before and after heavy rain, wind, or snow. This helps prevent flooding.","Water and Sewer Quick Reference Training Guide 2024.docx; New Hire Training PPT.pdf, Special Programs slide",Water and Sewer
What is WaterScope and how do I sign up?,"WaterScope is software that helps property owners manage water usage, lower bills, and detect leaks. It sends notifications when a potential leak is detected, you may be over-watering, or you're likely to exceed monthly budget. To sign up, complete opt-in form and send to water@somervillema.gov. Download form at somervillema.gov (search for waterscope opt-in form).","Water and Sewer Quick Reference Training Guide 2024.docx; New Hire Training PPT.pdf, WaterScope slide",Water and Sewer
